Country Name,Country Code,Series Name,Series Code,GDP1985,GDP1990,GDP1995,GDP2000,GDP2005,GDP2010,GDP2015
Nicaragua,NIC,GDP per capita (constant LCU),NY.GDP.PCAP.KN,22406.30816,16945.57835,16632.87686,19498.90624,21281.81304,22581.14547,27406.43428
Niger,NER,GDP per capita (constant LCU),NY.GDP.PCAP.KN,160326.3804,157095.7311,137730.5853,132142.0082,133648.2074,142349.5227,155661.4061
Nigeria,NGA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,223088.3123,205824.654,186068.962,192616.385,280457.0889,347934.3896,382985.4078
Norway,NOR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,342223.7859,364377.5883,425979.3592,494007.5146,535027.063,529751.5857,540912.6324
Oman,OMN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5949.354652,5730.267708,6301.211252,7281.315601,6791.320404,7659.489759,6138.903976
Pakistan,PAK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,33738.58503,38295.33638,42142.50047,43867.94213,50458.50323,53824.64194,58955.4449
Panama,PAN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3918.086034,3403.140115,4012.772831,4605.548921,5189.287337,6756.088046,9093.993604
Papua New Guinea,PNG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1332.255821,1247.545433,1660.95607,1442.13369,1416.992708,1682.215612,..
Paraguay,PRY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2635889.534,3058819.053,3363941.294,3083299.97,3101017.291,3693762.05,4377719.979
Peru,PER,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8555.611552,6940.686934,8134.196267,8574.496308,9922.744345,13007.61322,15373.52434
Philippines,PHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,39440.75824,43586.58592,43037.30801,45946.50203,52022.37923,61281.23686,75410.86415
Poland,POL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,17933.37528,19719.80305,25709.2632,30003.96179,37991.34732,44174.49553
Portugal,PRT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,9523.97815,12599.63527,13651.62579,16243.62917,16614.61282,17017.69699,16580.1585
Puerto Rico,PRI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1644.240418,1973.205814,2235.067708,2535.963915,2927.817199,2689.763716,..
Qatar,QAT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,283348.1326,297397.8404,330623.6605,348427.8783
Romania,ROM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,10672.70326,9804.670814,9783.655649,13625.37955,16565.46831,19027.43033
Russian Federation,RUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,357995.2698,222255.6946,243720.0535,335219.4098,400817.7523,414478.3578
Rwanda,RWA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,244741.1679,221733.8774,173710.5952,208484.9986,265645.9704,346426.5268,431588.6435
Samoa,WSM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5721.663438,5822.649434,5880.930077,6902.183674,8512.869037,8624.27901,8894.042271
San Marino,SMR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,13183.01912,14527.89524,17564.47856,21329.07336,23551.53039,..,..
Sao Tome and Principe,STP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,13200593.09,14801735.34,17666594.79,19766670.05
Saudi Arabia,SAU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,58112.60355,56174.77861,56146.57518,56174.06809,61679.2004,70327.42962,79923.02691
Senegal,SEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,333630.7651,321040.0249,306858.4374,331431.9734,364189.7249,376787.6671,394096.7152
Serbia,SRB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,245109.0224,264727.5019,361406.4487,420659.2775,440031.6444
Sierra Leone,SLE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1321507.056,1223524.487,950045.9973,915051.7996,1043357.967,1214005.904,1314610.818
Singapore,SGP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,22274.83838,30240.37029,39553.08914,45527.34473,54567.62473,63497.75801,70704.40083
Slovak Republic,SVK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,6568.036659,7774.482066,9974.347115,12534.20949,14075.57582
Slovenia,SVN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,11373.10465,14021.71032,16633.21018,17696.34494,17952.81374
Solomon Islands,SLB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,7058.219523,8993.417976,6813.886491,6306.546262,7041.356806,8139.261915
Somalia,SOM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14395.99295,14680.26346,..,..,..,..,..
South Africa,ZAF,GDP per capita (constant LCU),NY.GDP.PCAP.KN,48022.80696,46390.44831,43552.05994,44434.49794,49915.64473,54124.66355,55592.48954
South Sudan,SSD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,2963.662715,1360.062954
Spain,ESP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,13771.86755,16969.27984,18037.69501,21556.10222,23489.48203,23207.06336,23093.60136
Sri Lanka,LKA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,124327.3096,136460.2342,167693.139,207715.0206,242980.0294,318802.4655,411276.543
